        Host	nproc	  RAM	CVMFS	HDFS	scratch	sing	OS
   twins-a11	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a12	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a13	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a14	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a15	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a16	can't connect
   twins-a17	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a18	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a19	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a20	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a21	   16	23 GB	  yes	 yes	   877G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a22	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a23	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-a24	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b01	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b02	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b03	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b04	can't connect
   twins-b05	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b06	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b07	can't connect
   twins-b08	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b09	can't connect
   twins-b10	can't connect
   twins-b11	can't connect
   twins-b12	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b13	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b14	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b15	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b16	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b17	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b18	   16	23 GB	  yes	 yes	   419G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b19	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b20	can't connect
   twins-b21	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b22	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
   twins-b23	   16	23 GB	  yes	 yes	   107G	  no	Scientific Linux release 6.10 (Carbon)
      wn01-1	   24	47 GB	  yes	  no	   407G	  no	Scientific Linux release 6.10 (Carbon)
      wn01-2	   24	47 GB	  yes	  no	   407G	  no	Scientific Linux release 6.10 (Carbon)
      wn01-4	   24	47 GB	  yes	  no	   407G	  no	Scientific Linux release 6.10 (Carbon)
      wn02-2	   24	47 GB	  yes	  no	   407G	  no	Scientific Linux release 6.10 (Carbon)
