Linux 2.6.32-754.35.1.el6.x86_64 (hdfs-nn1.spa.umn.edu) 	02/18/2022 	_x86_64_	(16 CPU)

01:34:36 PM     CPU     %user     %nice   %system   %iowait    %steal     %idle
02:22:36 PM     all      0.13      0.00      0.13      0.07      0.00     99.68
02:22:56 PM     all      0.14      0.00      0.10      0.12      0.00     99.64
02:23:16 PM     all      0.19      0.00      0.09      0.06      0.00     99.65
02:23:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.69
02:23:56 PM     all      0.12      0.00      0.09      0.08      0.00     99.71
02:24:16 PM     all      0.12      0.00      0.08      0.04      0.00     99.75
02:24:36 PM     all      0.12      0.00      0.13      0.06      0.00     99.69
02:24:56 PM     all      0.12      0.00      0.10      0.08      0.00     99.70
02:25:16 PM     all      0.12      0.00      0.95      0.07      0.00     98.86
02:25:36 PM     all      0.22      0.00      0.19      0.10      0.00     99.49
02:25:56 PM     all      0.12      0.00      0.09      0.07      0.00     99.72
02:26:16 PM     all      0.09      0.00      0.07      0.03      0.00     99.80
02:26:36 PM     all      0.13      0.00      0.13      0.03      0.00     99.71
02:26:56 PM     all      0.13      0.00      0.10      0.11      0.00     99.67
02:27:16 PM     all      0.11      0.00      0.07      0.07      0.00     99.75
02:27:36 PM     all      0.11      0.00      0.12      0.05      0.00     99.72
02:27:56 PM     all      0.12      0.00      0.09      0.07      0.00     99.72
02:28:16 PM     all      0.09      0.00      0.08      0.05      0.00     99.78
02:28:36 PM     all      0.12      0.00      0.11      0.04      0.00     99.73
02:28:56 PM     all      0.12      0.00      0.09      0.15      0.00     99.64
02:29:16 PM     all      0.10      0.00      0.07      0.03      0.00     99.79
02:29:36 PM     all      0.13      0.00      0.12      0.07      0.00     99.69
02:29:56 PM     all      0.13      0.00      0.09      0.05      0.00     99.73
02:30:16 PM     all      8.93      0.00      0.79      0.07      0.00     90.21
02:30:36 PM     all      9.02      0.00      0.42      0.08      0.00     90.48
02:30:56 PM     all      0.13      0.00      0.10      0.11      0.00     99.65
02:31:16 PM     all      0.10      0.00      0.08      0.05      0.00     99.77
02:31:36 PM     all      0.13      0.00      0.13      0.06      0.00     99.68
02:31:56 PM     all      0.11      0.00      0.10      0.10      0.00     99.69
02:32:16 PM     all      0.12      0.00      0.08      0.05      0.00     99.76
02:32:36 PM     all      0.12      0.00      0.12      0.06      0.00     99.70
02:32:56 PM     all      0.12      0.00      0.12      0.11      0.00     99.65
02:33:16 PM     all      0.11      0.00      0.07      0.05      0.00     99.76
02:33:36 PM     all      0.13      0.00      0.12      0.07      0.00     99.68
02:33:56 PM     all      0.11      0.00      0.09      0.10      0.00     99.70
02:34:16 PM     all      0.11      0.00      0.07      0.05      0.00     99.77
02:34:36 PM     all      0.12      0.00      0.12      0.07      0.00     99.69
02:34:56 PM     all      0.11      0.00      0.10      0.11      0.00     99.68
02:35:16 PM     all      0.13      0.00      0.45      0.05      0.00     99.36
02:35:36 PM     all      0.22      0.00      0.18      0.07      0.00     99.53
02:35:56 PM     all      0.12      0.00      0.10      0.06      0.00     99.72
02:36:16 PM     all      0.12      0.00      0.08      0.03      0.00     99.78
02:36:36 PM     all      0.41      0.00      0.18      0.09      0.00     99.32
02:36:56 PM     all      2.18      0.00      0.38      0.18      0.00     97.26
02:37:16 PM     all      0.11      0.00      0.08      0.12      0.00     99.68
02:37:36 PM     all      0.12      0.00      0.13      0.04      0.00     99.71
02:37:56 PM     all      0.11      0.00      0.10      0.07      0.00     99.72
02:38:16 PM     all      0.15      0.00      0.09      0.06      0.00     99.70
02:38:36 PM     all      0.13      0.00      0.13      0.03      0.00     99.72
02:38:56 PM     all      0.13      0.00      0.11      0.12      0.00     99.65
02:39:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
02:39:36 PM     all      0.12      0.00      0.13      0.05      0.00     99.70
02:39:56 PM     all      0.12      0.00      0.10      0.06      0.00     99.72
02:40:16 PM     all      0.12      0.00      0.95      0.07      0.00     98.86
02:40:36 PM     all      0.21      0.00      0.19      0.08      0.00     99.52
02:40:56 PM     all      0.11      0.00      0.10      0.11      0.00     99.68
02:41:16 PM     all      0.11      0.00      0.09      0.04      0.00     99.76
02:41:36 PM     all      0.13      0.00      0.13      0.04      0.00     99.71
02:41:56 PM     all      0.10      0.00      0.08      0.07      0.00     99.75
02:42:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.79
02:42:36 PM     all      0.13      0.00      0.12      0.07      0.00     99.68
02:42:56 PM     all      0.13      0.00      0.10      0.12      0.00     99.65
02:43:16 PM     all      0.11      0.00      0.09      0.05      0.00     99.75
02:43:36 PM     all      0.13      0.00      0.12      0.05      0.00     99.70
02:43:56 PM     all      0.12      0.00      0.09      0.05      0.00     99.75
02:44:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
02:44:36 PM     all      0.11      0.00      0.13      0.05      0.00     99.71
02:44:56 PM     all      0.12      0.00      0.10      0.14      0.00     99.64
02:45:16 PM     all      9.06      0.00      0.86      0.07      0.00     90.01
02:45:36 PM     all      8.23      0.00      0.33      0.08      0.00     91.36
02:45:56 PM     all      0.11      0.00      0.11      0.06      0.00     99.72
02:46:16 PM     all      0.10      0.00      0.08      0.04      0.00     99.78
02:46:36 PM     all      0.13      0.00      0.12      0.05      0.00     99.70
02:46:56 PM     all      0.13      0.00      0.11      0.11      0.00     99.66
02:47:16 PM     all      0.10      0.00      0.08      0.06      0.00     99.75
02:47:36 PM     all      0.13      0.00      0.12      0.05      0.00     99.71
02:47:56 PM     all      0.13      0.00      0.10      0.09      0.00     99.68
02:48:16 PM     all      0.12      0.00      0.08      0.03      0.00     99.77
02:48:36 PM     all      0.12      0.00      0.12      0.04      0.00     99.72
02:48:56 PM     all      0.11      0.00      0.09      0.11      0.00     99.69
02:49:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
02:49:36 PM     all      0.20      0.00      0.12      0.05      0.00     99.63
02:49:56 PM     all      0.10      0.00      0.10      0.08      0.00     99.72
02:50:16 PM     all      0.13      0.00      0.81      0.09      0.00     98.96
02:50:36 PM     all      0.20      0.00      0.18      0.04      0.00     99.58
02:50:56 PM     all      0.15      0.00      0.13      0.13      0.00     99.59
02:51:16 PM     all      0.13      0.00      0.08      0.05      0.00     99.75
02:51:36 PM     all      0.11      0.00      0.12      0.06      0.00     99.71
02:51:56 PM     all      0.10      0.00      0.10      0.06      0.00     99.75
02:52:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.76
02:52:36 PM     all      0.13      0.00      0.12      0.07      0.00     99.68
02:52:56 PM     all      0.11      0.00      0.10      0.09      0.00     99.70
02:53:16 PM     all      0.16      0.00      0.10      0.07      0.00     99.67
02:53:36 PM     all      0.12      0.00      0.11      0.04      0.00     99.73
02:53:56 PM     all      0.10      0.00      0.09      0.06      0.00     99.74
02:54:16 PM     all      0.11      0.00      0.08      0.03      0.00     99.78
02:54:36 PM     all      0.11      0.00      0.12      0.07      0.00     99.71
02:54:56 PM     all      0.11      0.00      0.10      0.10      0.00     99.70
02:55:16 PM     all      0.12      0.00      0.81      0.07      0.00     99.00
02:55:36 PM     all      0.20      0.00      0.19      0.05      0.00     99.56
02:55:56 PM     all      0.11      0.00      0.09      0.07      0.00     99.73
02:56:16 PM     all      0.11      0.00      0.08      0.05      0.00     99.75
02:56:36 PM     all      0.12      0.00      0.12      0.04      0.00     99.72
02:56:56 PM     all      0.10      0.00      0.10      0.13      0.00     99.67
02:57:16 PM     all      0.10      0.00      0.08      0.07      0.00     99.75
