size,time,local,filesystem,branches,process
2837225753,316.132,true,hdfs,-1,false
2685254823,2220.3,true,zfs,-1,false
2946059345,735.573,true,hdfs,-1,true
2488341627,109.844,false,hdfs,-1,true
3107969157,229.461,true,zfs,-1,true
2863693200,475.829,true,hdfs,-1,true
2688109425,107.633,false,hdfs,-1,true
2743638947,300.874,true,zfs,-1,true
3180500134,535.893,true,zfs,-1,false
3002783996,95.8063,true,hdfs,-1,false
2790648541,369.318,true,hdfs,-1,false
3032286989,72.247,true,hdfs,-1,false
3184035849,48.5076,true,hdfs,-1,false
2734670461,195.024,false,zfs,-1,true
2556963426,42.8486,true,hdfs,-1,false
2910043935,43.27,true,hdfs,-1,false
3153591106,48.0829,true,hdfs,-1,false
2643884243,166.516,true,hdfs,-1,true
2749838530,132.602,true,hdfs,-1,true
2749762684,208.541,true,hdfs,-1,false
2697213276,1446.5,true,zfs,-1,false
2636486642,700.53,true,zfs,-1,false
2727604904,1135.62,true,zfs,-1,true
2645603941,230.473,true,hdfs,-1,true
2263134195,308.207,true,hdfs,-1,true
2410943486,489.903,false,zfs,-1,true
2747713802,114.383,false,hdfs,-1,true
2000467172,296.246,true,zfs,-1,true
2389078070,1644.45,false,zfs,-1,true
2086793009,102.12,true,hdfs,-1,true
2723193366,1637.97,false,zfs,-1,true
3119556351,363.123,true,hdfs,-1,true
1954340094,140.552,true,hdfs,-1,true
2622177016,1888.22,true,zfs,-1,false
2420386829,143.983,true,zfs,-1,true
2938781593,385.539,true,hdfs,-1,true
2261329384,86.3491,false,hdfs,-1,true
2488964446,2282.45,false,zfs,-1,true
2530958051,303.373,false,zfs,-1,true
2908058909,195.617,true,hdfs,-1,true
2577073639,403.841,true,zfs,-1,true
2596182512,154.414,false,hdfs,-1,true
2651833532,213.271,true,hdfs,-1,true
2754435373,639.8,true,hdfs,-1,true
2538821436,1403.83,true,zfs,-1,false
3047746132,485.867,true,zfs,-1,true
1887920501,85.5691,false,hdfs,-1,true
2300240456,120.955,true,hdfs,-1,false
3115383140,61.6873,true,hdfs,-1,false
2233431045,131.849,true,hdfs,-1,false
2734432641,754.067,true,hdfs,-1,true
3208551770,525.929,true,zfs,-1,false
2921036722,130.631,true,hdfs,-1,false
2609447578,1555.72,true,zfs,-1,false
2138250316,192.857,true,hdfs,-1,true
3349296233,129.148,false,hdfs,-1,true
2544417328,213.759,true,zfs,-1,true
2706200938,102.487,true,hdfs,-1,true
2968740679,611.468,true,hdfs,-1,true
2315908541,1817.12,false,zfs,-1,true
2995322045,1463.19,false,zfs,-1,true
2598965730,183.028,true,hdfs,-1,true
3139945973,118.94,false,hdfs,-1,true
2979178131,188.978,false,hdfs,-1,true
2425823122,291.68,true,hdfs,-1,false
2981199617,2120.93,false,zfs,-1,true
2752661622,153.356,true,hdfs,-1,true
2774804344,232.162,true,hdfs,-1,true
2787150525,2561.75,false,zfs,-1,true
2707716043,395.24,true,hdfs,-1,true
2969534551,2075.54,false,zfs,-1,true
2559386591,95.789,false,hdfs,-1,true
2049310876,243.297,true,hdfs,-1,true
2189055889,187.481,true,zfs,-1,true
2728080210,201.731,true,hdfs,-1,true
3246213634,189.721,true,hdfs,-1,true
1710016836,83.3312,false,hdfs,-1,true
2989971121,484.834,true,hdfs,-1,true
2962919459,1962.54,false,zfs,-1,true
